127.0.0.1 - - [24/May/2022:09:56:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:04 +0900] "GET /HRD_2206/index.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:04 +0900] "GET /HRD_2206/style.css HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:06 +0900] "GET /HRD_2206/join.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:06 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:06 +0900] "GET /HRD_2206/check.js HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:35 +0900] "POST /HRD_2206/action.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:35 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:35 +0900] "GET /HRD_2206/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:35 +0900] "GET /HRD_2206/list.jsp HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [24/May/2022:09:56:35 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:11 +0900] "GET /HRD_2206/join.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:11 +0900] "GET /HRD_2206/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:11 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:39 +0900] "POST /HRD_2206/action.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:39 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:39 +0900] "GET /HRD_2206/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:39 +0900] "GET /HRD_2206/list.jsp HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [24/May/2022:09:58:39 +0900] "GET /HRD_2206/style.css HTTP/1.1" 304 -
